,transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation
0,1,2,2950,2017-02-25,0.0,Approved,Solex,Standard,medium,medium,71.49,53.62,2012-12-02,Kristos,Anthony,M,19.0,1955-01-11,Software Engineer I,Financial Services,Mass Customer,N,Yes,10.0,984 Hoepker Court,3064.0,VIC,Australia,6.0
1,2,3,3120,2017-05-21,1.0,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,2014-03-03,Lauree,O'Donnell,F,89.0,1979-02-04,Clinical Specialist,Health,Mass Customer,N,Yes,10.0,4 Shopko Circle,2196.0,NSW,Australia,5.0
2,3,37,402,2017-10-16,0.0,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,1999-07-20,Berne,Donegan,M,9.0,1977-06-03,Desktop Support Technician,Retail,Affluent Customer,N,No,22.0,586 Miller Parkway,2835.0,NSW,Australia,1.0
3,4,88,3135,2017-08-31,0.0,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,1998-12-16,Titus,Worsall,M,83.0,1962-01-14,Staff Scientist,Financial Services,Mass Customer,N,No,16.0,1617 Harper Parkway,2096.0,NSW,Australia,10.0
4,5,78,787,2017-10-01,1.0,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,2015-08-10,,,,,,,,,,,,0601 Stephen Place,2292.0,NSW,Australia,7.0
5,6,25,2339,2017-03-08,1.0,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,2006-11-10,Damien,Haddeston,M,3.0,1958-12-28,Web Designer II,Property,Affluent Customer,N,Yes,16.0,7174 Thackeray Point,2153.0,NSW,Australia,10.0
6,7,22,1542,2017-04-21,1.0,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,1993-07-15,Sanders,Fernyhough,M,56.0,1978-07-27,Food Chemist,Health,Mass Customer,N,Yes,12.0,243 Mosinee Place,2155.0,NSW,Australia,10.0
7,8,15,2459,2017-07-15,0.0,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,2009-04-12,Jeanna,Naulls,F,67.0,1986-01-10,Quality Engineer,Manufacturing,High Net Worth,N,No,18.0,975 Annamark Hill,4034.0,QLD,Australia,6.0
8,9,67,1305,2017-08-10,0.0,Approved,Solex,Standard,medium,large,1071.23,380.74,1991-08-05,Averil,Gentiry,M,97.0,1970-03-01,Executive Secretary,Financial Services,High Net Worth,N,Yes,6.0,3 School Place,4124.0,QLD,Australia,4.0
9,10,12,3262,2017-08-30,1.0,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,2004-08-17,Maynord,L'Episcopi,M,65.0,1959-10-14,Product Engineer,Entertainment,Mass Customer,N,No,12.0,2558 Morningstar Center,4221.0,QLD,Australia,8.0
